what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1260854548610
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1260854548610
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1260854548610
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1260854548610
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1260854548626
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1260854548626
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1260854548626
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1260854548626
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1260854548626
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1260854548626
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1260854548626
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1260854548626
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1260854548626
os,sysinfo,,,"win32",1260854548626
arch,sysinfo,,,"x86",1260854548626
ws,sysinfo,,,"win32",1260854548626
locale,sysinfo,,,"en_US",1260854548626
processors,sysinfo,,,"2",1260854548626
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1260854548626
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1260854548626
java.specification.name,sysinfo,,,"Java Platform API Specification",1260854548626
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1260854548626
java.specification.version,sysinfo,,,"1.6",1260854548626
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1260854548626
java.version,sysinfo,,,"1.6.0_13",1260854548626
